"ID";"SIREN";"Organisation_name";"Type_of_org";"zip_code";"City";"Department_code";"Department_name";"Region";"categorie_entreprise";"etablissements";"creation_date";"juridical_nature";"is_sse";"is_mission_driven"
118;441983632;"LE MUY HANDBALL";"Associations";83490;"LE MUY";"83";"VAR";"PROVENCE ALPES COTE D AZUR";NA;"1";"2002-05-01";"9220";"TRUE";"FALSE"
119;433993979;"NEGO SUD TRANSFORMATION";"Cooperative";84470;"CHATEAUNEUF-DE-GADAGNE";"84";"VAUCLUSE";"PROVENCE ALPES COTE D AZUR";"PME";"1";"2001-01-02";"5458";"TRUE";"FALSE"
120;453257370;"JOYEUSE PETANQUE AUXONNAISE";"Associations";21130;"AUXONNE";"21";"COTE D OR";"BOURGOGNE FRANCHE COMTE";NA;"1";"1965-08-20";"9220";"TRUE";"FALSE"
121;488028408;"AZUR PLONGEE";"Associations";83340;"LE CANNET-DES-MAURES";"83";"VAR";"PROVENCE ALPES COTE D AZUR";NA;"1";"2005-03-25";"9220";"TRUE";"FALSE"
122;490022852;"ASS CULTURELLE DE NOTRE DAME DU MONT";"Associations";13006;"MARSEILLE 6";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"2005-08-04";"9220";"TRUE";"FALSE"
123;508289899;"ASSOCIATION CEDRIC GONELLA";"Associations";13400;"AUBAGNE";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"2008-06-16";"9220";"TRUE";"FALSE"
124;518522362;"ISERE CONCEPT ABIMATION";"Associations";38220;"CHOLONGE";"38";"ISERE";"AUVERGNE RHONE ALPES";NA;"1";"2005-05-03";"9220";"TRUE";"FALSE"
125;523652394;"LA MASSAGERE";"Associations";13003;"MARSEILLE 3";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"2010-07-02";"9220";"TRUE";"FALSE"
126;751111584;"AMIS DE LA SAINTE RENCONTRE";"Associations";13013;"MARSEILLE 13";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"2012-02-02";"9220";"TRUE";"FALSE"
127;779491299;"ASS CHAMPFLEURI";"Associations";38190;"LE CHAMP-PRES-FROGES";"38";"ISERE";"AUVERGNE RHONE ALPES";"PME";"1";"1900-01-01";"9220";"TRUE";"FALSE"
128;798903787;"AUTOUR DU LIVRE";"Associations";26290;"LES GRANGES-GONTARDES";"26";"DROME";"AUVERGNE RHONE ALPES";NA;"1";"2000-11-10";"9220";"TRUE";"FALSE"
129;55809578;"IMPRIMERIE NOUVELLE DE MARSEILLE";"Cooperative";13007;"MARSEILLE 7";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found"
130;341448280;"ASS INSTALL CHAINE GAZ GRAND AVIGNON";"Associations";84000;"AVIGNON";"84";"VAUCLUSE";"PROVENCE ALPES COTE D AZUR";NA;"1";"1987-01-21";"9220";"TRUE";"FALSE"
131;379791932;"COMITE GESTION BASE LIGUE DEPARTEMENT";"Associations";74800;"LA ROCHE-SUR-FORON";"74";"HAUTE SAVOIE";"AUVERGNE RHONE ALPES";NA;"1";"1987-11-01";"9220";"TRUE";"FALSE"
132;397503228;"ASS LA COURTINE";"Associations";69003;"LYON 3EME";"69";"RHONE";"AUVERGNE RHONE ALPES";NA;"1";"1994-06-25";"9220";"TRUE";"FALSE"
133;407701762;"EGLISE EVANGELIQUE DES FRERES DU CREUSOT";"Associations";71200;"LE CREUSOT";"71";"SAONE ET LOIRE";"BOURGOGNE FRANCHE COMTE";NA;"1";"1995-04-27";"9220";"TRUE";"FALSE"
134;441984424;"GYM ET BIEN ETRE GYM VOLONTAIRE";"Associations";43620;"SAINT-ROMAIN-LACHALM";"43";"HAUTE LOIRE";"AUVERGNE RHONE ALPES";"PME";"1";"1990-02-01";"9220";"TRUE";"FALSE"
135;433996741;"ASSOC USAGERS RACCORD. RESEAU ASSAINIS.";"Associations";89310;"PASILLY";"89";"YONNE";"BOURGOGNE FRANCHE COMTE";NA;"1";"2000-06-17";"9220";"TRUE";"FALSE"
136;453257768;"TRIATHLON CLUB MARSEILLE 12";"Associations";13012;"MARSEILLE 12";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"1998-11-18";"9220";"TRUE";"FALSE"
137;488028515;"FONDATION PETZL";"Fondations";38920;"CROLLES";"38";"ISERE";"AUVERGNE RHONE ALPES";"PME";"1";"2006-01-01";"9300";"TRUE";"FALSE"
138;490023223;"COMITE TERRITORIAL VAUCLUSE DE LA FEDERATION FRANCAISE DE LA MONTAGNE ET DE L'ESCALADE";"Associations";84740;"VELLERON";"84";"VAUCLUSE";"PROVENCE ALPES COTE D AZUR";NA;"1";"1988-02-10";"9220";"TRUE";"FALSE"
139;508290400;"FOYER DE LA JEUNESSE DU JONQUET";"Associations";83200;"TOULON";"83";"VAR";"PROVENCE ALPES COTE D AZUR";"PME";"1";"2008-08-13";"9220";"TRUE";"FALSE"
140;510917305;"LES ARTS LES UNS LES AUTRES NATURE ET ROULOTTES";"Associations";13140;"MIRAMAS";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"2008-12-05";"9220";"TRUE";"FALSE"
141;523652501;"COMITE D ORGANISATION DE LA 67E SESSION INTER DU PARLEMENT EUROPEEN DES JEUNES";"Associations";38000;"GRENOBLE";"38";"ISERE";"AUVERGNE RHONE ALPES";NA;"1";"2009-12-03";"9220";"TRUE";"FALSE"
142;751111972;"ASSO ENSUENENNE DE SOUTIEN AU COMITE COMMUNAL FEUX DE FORET D ENSUES LA REDONNE";"Associations";13820;"ENSUES-LA-REDONNE";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";NA;"1";"1988-05-26";"9220";"TRUE";"FALSE"
143;779491315;"CHAMPFLEURI";"Associations";38190;"LE CHAMP-PRES-FROGES";"38";"ISERE";"AUVERGNE RHONE ALPES";NA;"1";"1900-01-01";"9220";"TRUE";"FALSE"
144;798903795;"LES AMIS D ESPALADOUS";"Associations";43260;"SAINT-PIERRE-EYNAC";"43";"HAUTE LOIRE";"AUVERGNE RHONE ALPES";"PME";"1";"2013-10-12";"9220";"TRUE";"FALSE"
145;55810501;"RESIDENCE MARITIME SOC IMMOBIL";"Cooperative";13001;"MARSEILLE 1";"13";"BOUCHES DU RHONE";"PROVENCE ALPES COTE D AZUR";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found";"Not_found"
146;341448801;"ASS ARCHIVES FILM EXPERIMENTAL AVIGNON";"Associations";84000;"AVIGNON";"84";"VAUCLUSE";"PROVENCE ALPES COTE D AZUR";NA;"1";"1977-12-01";"9220";"TRUE";"FALSE"
147;379793474;"ASS SAUVEGARDE DES SITES ET CADRE DE VIE";"Associations";26130;"MONTSEGUR-SUR-LAUZON";"26";"DROME";"AUVERGNE RHONE ALPES";NA;"1";"1990-07-01";"9220";"TRUE";"FALSE"
148;397503574;"SERVICE PROXIMITE PLUS";"Associations";69270;"FONTAINES-SUR-SAONE";"69";"RHONE";"AUVERGNE RHONE ALPES";NA;"1";"1994-05-24";"9220";"TRUE";"FALSE"
149;407702133;"ASS DES COPROPRIETAIRE CROIX DU PATRE";"Associations";38400;"SAINT MARTIN D'HERES";"38";"ISERE";"AUVERGNE RHONE ALPES";NA;"1";"1996-03-26";"9220";"TRUE";"FALSE"
150;441987583;"CUMA DU BEAUFORTAIN";"Cooperative";73270;"BEAUFORT";"73";"SAVOIE";"AUVERGNE RHONE ALPES";"PME";"1";"1971-10-19";"6316";"TRUE";"FALSE"
151;433996899;"RUGBY CLUB CELLES LES SARRAIX";"Associations";63250;"CELLES-SUR-DUROLLE";"63";"PUY DE DOME";"AUVERGNE RHONE ALPES";NA;"1";"1996-07-09";"9220";"TRUE";"FALSE"
152;453258089;"ASSOCIATION DE GYMNASTIQUE LA BEAUNOISE";"Associations";21200;"BEAUNE";"21";"COTE D OR";"BOURGOGNE FRANCHE COMTE";"PME";"1";"1967-08-13";"9220";"TRUE";"FALSE"
